Дунавски басейн,№ ХМС,Река,Хидрометрична станция (ХМС),Qmin  [m3/s],Qср.  [m3/s],Qmax  [m3/s],H   [cm],Q   [m3/s],ΔH   [cm]
0,14840    ,Лом    ,с. Василовци    ,"0,079    ","4,898    ","233,000    ",35    ,"3,355    ",-3
1,16800    ,Огоста    ,с. Кобиляк    ,"3,099    ","16,480    ","560,000    ",59    ,"5,200    ",-19
2,16850    ,Огоста    ,с. Бутан    ,"2,000    ","18,273    ","735,000    ",69    ,"16,011    ",-11
3,18650    ,Искър    ,с. Бели Искър    ,"0,500    ","6,968    ","97,000    ",73    ,"30,136    ",12
4,18360    ,Бистрица(Мусаленска)    ,лет. Боровец    ,"0,003    ","0,442    ","9,400    ",57    ,"2,024    ",0
5,18370    ,Палакария    ,с. Рельово    ,"0,017    ","1,372    ","33,850    ",44    ,"1,148    ",0
6,18700    ,Искър    ,Нови Искър    ,"7,510    ","21,412    ","1 330,000    ",70    ,"27,800    ",32
7,18560    ,Малки Искър    ,с. Своде    ,"0,649    ","9,186    ","650,000    ",n.a.    ,n.a.    ,n.a.
8,18800    ,Искър    ,Роман    ,"8,000    ","49,874    ","1 102,000    ",36    ,"21,293    ",-13
9,18850    ,Искър    ,с. Ореховица    ,"6,889    ","46,482    ","1 117,000    ",82    ,"39,466    ",-3
10,21350    ,Черни Вит    ,с. Черни Вит    ,"0,270    ","2,673    ","195,000    ",48    ,"1,900    ",0
11,21650    ,Вит (Бели Вит)    ,Тетевен    ,"0,259    ","4,658    ","322,000    ",89    ,"2,859    ",2
12,21750    ,Вит    ,с. Крушовица    ,"0,189    ","8,804    ","520,000    ",58    ,"5,422    ",-2
13,21800    ,Вит    ,с. Търнене    ,"0,150    ","11,925    ","572,000    ",76    ,"9,000    ",0
14,22700    ,Осъм    ,Троян    ,"0,200    ","6,009    ","290,000    ",21    ,"4,291    ",3
15,22750    ,Осъм    ,Ловеч    ,"0,300    ","9,715    ","562,000    ",40    ,"6,700    ",2
16,22800    ,Осъм    ,с. Изгрев    ,"0,200    ","11,017    ","285,000    ",127    ,"7,703    ",1
17,23650    ,Янтра    ,Габрово    ,"0,300    ","3,944    ","192,000    ",n.a.    ,n.a.    ,n.a.
18,23700    ,Янтра    ,В. Търново    ,"0,259    ","11,656    ","944,000    ",128    ,"10,431    ",0
19,23400    ,Джулюница    ,с. Джулюница    ,"0,070    ","7,044    ","575,000    ",102    ,"4,574    ",7
20,23150    ,Голяма река    ,Стражица    ,"0,009    ","1,917    ","213,000    ",94    ,"1,678    ",1
21,23500    ,Росица    ,Севлиево    ,"0,119    ","8,536    ","558,000    ",90    ,"7,700    ",2
22,23850    ,Янтра    ,с. Каранци    ,"3,400    ","42,043    ","1 925,000    ",122    ,"35,408    ",-1
23,31550    ,Черни Лом    ,с. Широково    ,"0,500    ","3,444    ","161,489    ",49    ,"3,095    ",5
24,31830    ,Русенски Лом    ,с. Божичен    ,"0,836    ","5,450    ","63,000    ",188    ,"4,893    ",15
